Date,Total_Cases,New_Daily_Cases
1/22/2020,0,0
1/23/2020,0,0
1/24/2020,1,1
1/25/2020,1,0
1/26/2020,1,0
1/27/2020,1,0
1/28/2020,1,0
1/29/2020,1,0
1/30/2020,1,0
1/31/2020,2,1
2/1/2020,2,0
2/2/2020,2,0
2/3/2020,2,0
2/4/2020,2,0
2/5/2020,2,0
2/6/2020,2,0
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,4,1
3/3/2020,4,0
3/4/2020,4,0
3/5/2020,5,1
3/6/2020,5,0
3/7/2020,6,1
3/8/2020,7,1
3/9/2020,7,0
3/10/2020,12,5
3/11/2020,25,13
3/12/2020,32,7
3/13/2020,46,14
3/14/2020,64,18
3/15/2020,66,2
3/16/2020,83,17
3/17/2020,161,78
3/18/2020,272,111
3/19/2020,416,144
3/20/2020,418,2
3/21/2020,750,332
3/22/2020,1047,297
3/23/2020,1222,175
3/24/2020,1537,315
3/25/2020,1863,326
3/26/2020,1870,7
3/27/2020,3024,1154
3/28/2020,3483,459
3/29/2020,4588,1105
3/30/2020,5043,455
3/31/2020,5976,933
4/1/2020,6952,976
4/2/2020,7658,706
4/3/2020,8489,831
4/4/2020,10299,1810
4/5/2020,11197,898
4/6/2020,12190,993
4/7/2020,13488,1298
4/8/2020,15005,1517
4/9/2020,16354,1349
4/10/2020,17806,1452
4/11/2020,19095,1289
4/12/2020,20751,1656
4/13/2020,21960,1209
4/14/2020,23194,1234
4/15/2020,24548,1354
4/16/2020,25679,1131
4/17/2020,27504,1825
4/18/2020,29076,1572
4/19/2020,30242,1166
4/20/2020,31383,1141
4/21/2020,32867,1484
4/22/2020,34879,2012
4/23/2020,36744,1865
4/24/2020,39440,2696
4/25/2020,41503,2063
4/26/2020,43596,2093
4/27/2020,45545,1949
4/28/2020,47767,2222
4/29/2020,50004,2237
4/30/2020,52540,2536
5/1/2020,55692,3152
5/2/2020,58227,2535
5/3/2020,61242,3015
5/4/2020,63563,2321
5/5/2020,65653,2090
5/6/2020,68059,2406
5/7/2020,70700,2641
5/8/2020,73640,2940
5/9/2020,75935,2295
5/10/2020,77578,1643
5/11/2020,78857,1279
5/12/2020,82874,4017
5/13/2020,84566,1692
5/14/2020,87786,3220
5/15/2020,90233,2447
5/16/2020,92325,2092
5/17/2020,94040,1715
5/18/2020,96324,2284
5/19/2020,97873,1549
5/20/2020,100256,2383
5/21/2020,102512,2256
5/22/2020,105226,2714
5/23/2020,107571,2345
5/24/2020,110050,2479
5/25/2020,111743,1693
5/26/2020,112898,1155
5/27/2020,113991,1093
5/28/2020,115501,1510
5/29/2020,117211,1710
5/30/2020,118719,1508
5/31/2020,120057,1338
6/1/2020,121023,966
6/2/2020,122586,1563
6/3/2020,123605,1019
6/4/2020,124556,951
6/5/2020,125709,1153
6/6/2020,126698,989
6/7/2020,127557,859
6/8/2020,128234,677
6/9/2020,129018,784
6/10/2020,129669,651
6/11/2020,130437,768
6/12/2020,131044,607
6/13/2020,131707,663
6/14/2020,132375,668
6/15/2020,132857,482
6/16/2020,133479,622
6/17/2020,134083,604
6/18/2020,134728,645
6/19/2020,135417,689
6/20/2020,136049,632
6/21/2020,136703,654
6/22/2020,137167,464
6/23/2020,137774,607
6/24/2020,138494,720
6/25/2020,139395,901
6/26/2020,140261,866
6/27/2020,141048,787
6/28/2020,141694,646
6/29/2020,142417,723
6/30/2020,143136,719
7/1/2020,143962,826
7/2/2020,144836,874
7/3/2020,145704,868
7/4/2020,146565,861
7/5/2020,147197,632
7/6/2020,147809,612
7/7/2020,148397,588
7/8/2020,149383,986
7/9/2020,150401,1018
7/10/2020,151722,1321
7/11/2020,152914,1192
7/12/2020,153863,949
7/13/2020,154744,881
7/14/2020,155461,717
7/15/2020,156652,1191
7/16/2020,157927,1275
7/17/2020,159302,1375
7/18/2020,160576,1274
7/19/2020,161542,966
7/20/2020,162706,1164
7/21/2020,163650,944
7/22/2020,165259,1609
7/23/2020,166885,1626
7/24/2020,168412,1527
7/25/2020,169829,1417
7/26/2020,171364,1535
7/27/2020,172578,1214
7/28/2020,173671,1093
7/29/2020,175064,1393
7/30/2020,176841,1777
